Año de publicación,Código sugerido,Nombre del archivo,Título del estudio,Categoría,Tipo de documento,Subcategoría,Idioma,Número de páginas,Incorpora perspectiva de género,Año de término,Lugar de término,Palabras clave,Objetivo,Metodología,Resumen,Documento público,Publicación destacada,Publicado,Editorial,Entidad solicitante,Entidad a cargo del estudio,Investigador u organismo principal,Equipo de investigación,Número de documento administrativo,Tipo de financiamiento,Costo del estudio,Base de datos enviada,Base pública,Url,Autoría
2002,E02-0005,Reforma Crédito Universitario,Elementos para una Reforma del Sistema de Crédito Estudiantil en Chile,Estadísticas,Documento de trabajo,Educación superior,Español,27,No,2002,"Santiago, Chile",Cobertura; universidades estatales; financiamiento; familia.,Discutir los cambios que debieran introducirse al mecanismo de crédito estudiantil en Chile para que el sistema sea capaz en el futuro de cubrir al conjunto de la población objetivo en condiciones de eficiencia y solvencia financiera.,Cualitativa,"Estudio que describe el actual sistema de Créditos para la Educación Superior, con énfasis en las Instituciones pertenecientes al Consejo de Rectores. Se organiza en 3 capítulos. el primero caracteriza el funcionamiento del sistema actual en Chile (fortalezas y debilidades). El segundo discute los cambios necesarios en el sistema de financiamiento estudiantil. El tercero y último presenta las conclusiones obtenidas del estudio.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Facultad de Ciencias Económicas y Administrativas, U. de Chile","Larrañaga, Osvaldo",Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17720/E02-0005.pdf?sequence=1&isAllowed=y,"Larrañaga, Osvaldo"
2002,E02-0006,Estado Arte Dirección Escolar,Estado del arte y estudios de caso sobre la dirección escolar,Estudios,Documento de trabajo,Liderazgo directivo,Español,117,No,2002,"Santiago, Chile",Gestión Escolar; Director.,"Conocer y comparar experiencias de profesionalización de los directores de establecimientos escolares a nivel internacional, de manera tal de orientar la construcción de políticas relativas a este tema en el ámbito chileno.",Cualitativa,"El estudio se compone de tres partes principales: una revisión bibliográfica (estado del arte) de fuentes secundarias, un análisis de casos y lecciones de las experiencias para el caso Chileno. La primera parte consiste en una contextualización amplia del ámbito en el cual se desarrollan cada una de las políticas y medidas en los distintos países destinadas a regular el rol del director de establecimientos educacionales. En la segunda parte, se analizan en profundidad los casos de Suecia, Reino Unido y Minas Gerais en Brasil. Por último, en la tercera parte se hacen recomendaciones de política en torno a cuatro ejes centrales del rol directivo: funciones, atribuciones, competencias y apoyos, soportes y regulaciones.",Si,No,No,Sin información,Dirección de Educación General; DEG; Ministerio de Educación de Chile; MINEDUC,"CIDE, UAH","Corvalán, Javier",Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17721/E02-0006.pdf?sequence=1&isAllowed=y,"Corvalán, Javier"
2002,E02-0007,Gestión Rural,Estudio de la gestión de las escuelas adscritas al programa Educación Básica Rural del Ministerio de Educación,Estudios,Informe,Comunidad educativa,Español,130,No,2002,"San Felipe, Chile",Ruralidad; Gestión Escolar; Educación Básica.,Caracterizar los diversos tipos de gestión que se aplican en las escuelas rurales del programa de Educación Básica Rural e identificar los principales factores que intervienen en el proceso.,Mixta,"El trabajo consistió en examinar en terreno a través de una muestra intencional de establecimientos las características de la gestión, y su posterior análisis en forma tal de determinar modificaciones que posibiliten efectivamente el mejoramiento permanente de sus logros tal como lo propone el Programa Básica Rural en sus objetivos.",Si,No,No,Sin información,División de Planificación y Presupuesto; DIPLAP; Ministerio de Eduación de Chile; MINEDUC,UPLA,"Moreno, Carlos","Flores, René; Leiva, Fernando; Mandujano, Fernando; Muñoz, María Isabel; Rodríguez, Juan Carlos; Tapia, Alejandro",Sin información,Externo,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17726/E02-0007.pdf?sequence=1&isAllowed=y,"Moreno, Carlos; Flores, René; Leiva, Fernando; Mandujano, Fernando; Muñoz, María Isabel; Rodríguez, Juan Carlos; Tapia, Alejandro"
2002,EV02-0008,Formación Laboral Educación Especial,Situación de la formación laboral en educación especial,Evaluaciones,Informe,Educación especial,Español,88,No,2002,"Santiago, Chile",Educación adultos; Mercado laboral; Calidad de vida; Autopercepción.,"EL objetivo del trabajo es aportar a la compresión de la situación Formación Laboral en Educación Especial, caracterizarla y analizar sus impactos.",Mixta,"El trabajo permite obtener información a nivel censal sobre la situación de la Educación Especial Laboral en Chile, su alcance, sus modelos y entrega nociones sobre el impacto que esta tiene.",Si,Si,No,Sin información,Programa de Educación Especial; Ministerio de Educación de Chile; MINEDUC,"Consultora en Estudios, Asesorías y Planificación en Desarrollo Local",Sin información,Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17727/EV02-0008.pdf?sequence=1&isAllowed=y,Sin información
2002,E02-0009,Plan de Acción Liceo Para Todos,Evaluación de la Línea Planes de Acción de los Liceos Adscritos al Programa Liceos Para Todos,Estudios,Informe,Comunidad educativa,Español,156,No,2002,"Santiago, Chile",Vulnerabilidad; Segregación; Gestión Escolar; Política Educativa; Comunidad Educativa.,Apoyar al Programa Liceo para Todos en la sistematización y evaluación de su implementación en el nivel de los establecimientos.,Cualitativa,"El Programa espera que producto del instrumento Plan de acción los agentes de la comunidad escolar de cada liceo hagan una reflexión colectiva sobre los factores que en éste estarían incidiendo sobre la deserción, las acciones que el liceo podría emprender para frenar la deserción; y elaboren e implementen un plan de acción de dos años de duración dirigido a frenar el abandono escolar de los jóvenes que asisten al liceo.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,Asesorías para el Desarrollo,"Raczynski, Dagmar","Mohor, Alejandra; Ossandón, José; Ruiz, Catalina; Valle, Manuela; Fernández, Juan",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17728/E02-0009.pdf?sequence=1&isAllowed=y,"Raczynski, Dagmar; Mohor, Alejandra; Ossandón, José; Ruiz, Catalina; Valle, Manuela; Fernández, Juan"
2002,E02-0010,Estadisticas Educacion 2001,Estadísticas de la Educación 2001,Estadísticas,Informe,Reporte de información estadística,Español,250,Si,2002,"Santiago, Chile","Estudiantes, establecimientos, docentes, recursos financieros, becas, indicadores, capacitación.",Sin información,Cuantitativa,Sin información,Si,No,Si,"Ministerio de Educación de Chile, MINEDUC",Ministerio de Educación de Chile; MINEDUC,"Centro de Estudios, MINEDUC","Centro de Estudios, MINEDUC","Centro de Estudios, MINEDUC",Sin información,Interno,0,Si,Si,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/235/doc-15.pdf?sequence=1&isAllowed=y,"Centro de Estudios, MINEDUC"
2003,E03-0001,Estudio Codocentes,Diagnóstico de las necesidades del personal codocente de las unidades educativas del país en la opinión de sus dirigentes,Estudios,Informe,Sistema educativo,Español,76,No,2003,"Santiago, Chile",Perfeccionamiento; Competencias; Recursos humanos.,"Realizar un diagnóstico de las necesidades de conocimientos, desarrollo de competencias, y experiencias, así como de las expectativas de los codocentes representados por el personal codocente que cumple funciones profesionales, de paradocencia y de servicios auxiliares.",Cuantitativa,"El diagnóstico de necesidades se elaboró sobre la base de una encuesta aplicada a dirigentes del personal codocente (hoy denominados Asistentes de la Educación) durante su Primer Encuentro destinado, además, a sensibilizar a los dirigentes nacionales y regionales para trabajar juntos una estrategia de capacitación en prevención del consumo de drogas, convivencia escolar y reforma educacional, como a incorporar el tema de la capacitación a la mesa técnica regional, con el fin de implementar una estrategia regional de capacitación.",Si,No,No,Sin información,"Centro de Perfeccionamiento, Experimentación e Investigaciones; CPEIP",MINEDUC,"Molina, Claudio",Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17730/E03-0001.pdf?sequence=1&isAllowed=y,"Molina, Claudio"
2003,E03-0002,Calidad Proceso Integración Educativa,Estudio a nivel muestral de la calidad del proceso de integración educativa,Estudios,Informe,Educación especial,Español,42,No,2003,"Santiago, Chile",Acceso; Educación adultos.,Realizar un análisis de los Proyectos de Integración Escolar que se desarrollan en los establecimientos educacionales chilenos.,Mixta,"Caracterización de los Proyectos de Integración Educativa, en una muestra de establecimientos en cinco regiones del país (III, VI, VIII, X y RM) Su finalidad Es conocer las características de los PIE en cuanto al número de alumnos, discapacidades atendidas, los procesos técnico pedagógicos empleados para atender a los alumnos integrados y las barreras existentes que obstaculizan el aprendizaje de los alumnos integrados.",Si,No,No,Sin información,Dirección de Educación General; DEG; Ministerio de Educación de Chile; MINEDUC,"Consultora en Estudios, Asesorías y Planificación en Desarrollo Local (CEAS)",Sin información,Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17731/E03-0002.pdf?sequence=1&isAllowed=y,Sin información
2003,E03-0003,Evaluación Curso Distancia,Evaluación y seguimiento del curso a distancia impartido a través de Internet Funciones Matemáticas en la Enseñanza Media,Estudios,Informe,Enseñanza y aprendizaje,Español,104,No,2003,"Valparaíso, Chile",Evaluación; Matemática; Educación Media; E-learning; Enseñanza - Aprendizaje; Estilos de enseñanza; Recursos para el aprendizaje; Conocimientos pedagógicos; Desempeño docente; Docente; Perfeccionamiento.,"Realizar un seguimiento del curso a distancia impartido a través de Internet, denominado “Funciones Matemáticas en la Enseñanza Media"".",Cuantitativa,"Estudio de evaluación y seguimiento al del curso a distancia impartido a través de Internet, denominado “Funciones Matemáticas en la Enseñanza Media”. Se realizó el seguimiento del curso, desde la percepción de los participantes, con el propósito de determinar las variables significativas que inciden en el éxito de estas iniciativas de esta naturaleza, a la vez de entregar recomendaciones que permitan integrar la información recabada sobre el curso y establecer las variables significativas para el éxito de cursos acciones de desarrollo profesional docente con esta modalidad y características.",Si,No,No,Sin información,"Centro de Perfeccionamiento, Experimentación e Investigaciones; CPEIP; Enlaces","Centro de Investigación y Desarrollo de la Educación, PUCV",Sin información,Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17732/E03-0003.pdf?sequence=1&isAllowed=y,Sin información
2003,EV03-0004,Evaluación Impacto Talleres Aprendizaje Autoestima,Evaluación del Impacto de los Talleres de Aprendizaje en la Autoestima de los Niños,Evaluaciones,Informe,Monitoreo y evaluación,Español,95,No,2003,"Santiago, Chile",Desempeño Escolar; Autoestima; Desempeño Escolar; Vulnerabilidad; Educación Municipal.,Evaluar el impacto de los Talleres de Aprendizaje en la autoestima de los niños.,Cualitativa,"Las TAP, en su concepción y metodología, tienen como finalidad intervenir en el circuito que perpetúa la baja autoestima y el bajo desempeño en diversas áreas, en especial, respecto del desempeño escolar. En este sentido, hay contenidos programáticos dentro de los que se abordan en los talleres, que apuntan directamente a desarrollar y estimular diversas dimensiones de la autoestima. El trabajo consistió en evaluar nivel de autoestima antes de que el niño asista a talleres y después de concluido el período de asistencia a los talleres TAP. El instrumento se aplicó simultáneamente en las escuelas seleccionadas. Los cambios observados en los puntajes del pre y el post test, se considerarán indicadores de cambios en la autoestima de los niños.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,Hidalgo y Asociados Ltda. Consultores,Sin información,Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17733/EV03-0004.pdf?sequence=1&isAllowed=y,Sin información
2003,E03-0005,Diagnóstico CEIA,Diagnóstico de los Centros de Educación Integrada de Adultos (CEIA),Estudios,Informe,Monitoreo y evaluación,Español,151,No,2003,"Santiago, Chile",Evaluación; Cobertura; Educación Adultos.,"Evaluar los CEIA y su oferta de educación, poniendo atención en sus fortalezas y debilidades.",Mixta,"En Chile algo más de 5 millones de personas de 16 años y más están en condiciones de postular a nivelación de estudios en alguna modalidad de enseñanza de adulto (EDA) . Las actuales ofertas de EDA tienen una baja cobertura alcanzando aproximadamente a 165 mil personas. La política de educación de adultos se encuentra hoy en un momento de transformación. Por un lado se modificará el marco curricular que orienta el qué y cómo se enseña a las personas jóvenes y adultas y, por la otra, se ha iniciado la puesta en marcha del Programa de Educación y Capacitación Permanente.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,Asesorías para el Desarrollo,Sin información,Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17734/E03-0005.pdf?sequence=1&isAllowed=y,Sin información
2003,E03-0006,Salud Laboral Docentes,Estudio de la salud laboral de los profesores en Chile,Estudios,Informe,Docentes,Español,109,No,2003,"Santiago, Chile",Docentes; Evaluación; Salud.,"Caracterizar y estimar la magnitud de los problemas de salud de los docentes, sobre la base de un estudio orientado a los docentes que laboran en el medio urbano del país.",Cualitativa,"Este informe presenta los resultados obtenidos y analizados de la investigación relacionada con la salud de los docentes en Chile. Se organizan de la siguiente manera; la primera parte es un marco teórico con la revisión bibliográfica que orientó la investigación, luego se presentan los resultados de las distintas fases del estudio, y finamente un modelamiento de un diseño de evaluación económico para una de las patologías más relevante en el análisis comparado de la muestra analizada.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Escuela de Medicina y Psicología, PUC","Valdivia, Gonzalo","Avendaño, Cecilia; Bastías, Gabriel; Milicic, Neva; Morales, Alejandro; Scharager, Judith",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17735/E03-0006.pdf?sequence=1&isAllowed=y,"Valdivia, Gonzalo; Avendaño, Cecilia; Bastías, Gabriel; Milicic, Neva; Morales, Alejandro; Scharager, Judith"
2003,E03-0007,Uso Textos Escolares Primer Ciclo,Estudio sobre uso de Textos Escolares en el Primer Ciclo Básico. Informe Descriptivo,Estudios,Informe,Currículo,Español,240,No,2003,"Santiago, Chile",Textos escolares; Evaluación.,Producir información válida y pertinente para retroalimentar los procesos involucrados en la elaboración de los textos escolares y contribuir a su mejoramiento.,Cuantitativa,"Se aplicaron cuestionarios a muestras probabilísticas de escuelas básicas del país. El estudio recoge sobre los siguientes ámbitos o dimensiones: uso del texto escolar, valoración del texto escolar y necesidades de los docentes. Para abordar estas dimensiones, se elaboraron 10 cuestionarios semiestructurados, uno para cada nivel y subsector, organizados en 5 secciones. Las unidades de análisis del estudio son los textos escolares distribuidos por el MINEDUC en el año 2002 y los informantes o respondientes son profesores que hicieron clases en cada uno de los subsectores y niveles en estudio en las escuelas básicas subvencionadas del país.",Si,No,No,Sin información,Unidad de Currículum y Evaluación; UCE; Ministerio de Educación de Chile; MINEDUC,"UCE, MINEDUC",Sin información,Sin información,Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17737/E03-0007.pdf?sequence=1&isAllowed=y,Sin información
2003,E03-0008,Clasificación Liceos,"Clasificación de Liceos de Enseñanza Media: Análisis del Rendimiento, Fracaso y Vulnerabilidad",Estudios,Informe,Sistema educativo,Español,43,No,2003,"Santiago, Chile",Vulnerabilidad; Política Educativa; Subvención; Deserción Escolar.,Clasificar a los liceos municipales y particulares subvencionados del país en grupos homogéneos con el fin de identificar aquellos que el programa LPT puede focalizar con mayor impacto sus programas.,Cuantitativa,"El Programa Liceo para Todos (LPT) que impulsa el Ministerio de Educación tiene como objetivo mejorar la calidad de la educación en los liceos subvencionados del país de mayor vulnerabilidad socioeconómica y educativa. Una de las líneas de acción del Programa consiste en otorgar una beca en dinero a los alumnos de más escasos recursos y más alto riesgo de abandono. Su objetivo es apoyar y estimular la continuidad y término de los estudios de enseñanza media en este grupo más vulnerable de la población. El resultado de este análisis entregó 10 grupos de liceos homogéneos, dispar en sus tamaños, que consistentemente muestran un continuo en los indicadores elegidos. El grupo 1 de liceos es el más vulnerable y el grupo 10 el de mejor rendimiento. Junto con esta clasificación, se elaboró una tarjeta de puntuación que permite clasificar nuevos liceos o bien reclasificar a estos mismo liceos según su comportamiento futuro.",Si,No,No,Sin información,Ministerio de Educación de Chile; MINEDUC,"Departamento de Salud Pública, PUC","Marshall, Guillermo","Correa, Lorena",Sin información,Interno,0,No,No,https://bibliotecadigital.mineduc.cl/bitstream/handle/20.500.12365/17738/E03-0008.pdf?sequence=1&isAllowed=y,"Marshall, Guillermo; Correa, Lorena"
